id_bdq;foco_id;lat;lon;data_pas;pais;estado;municipio;bioma
 1502858863 ;c40b9ba6-8419-31de-8bde-16636d3ce519;  -19.080000 ;  -40.074000 ;2020-07-03 16:00:00;Brasil;ESPÍRITO SANTO;SOORETAMA;Mata Atlântica
 1503118381 ;30a5b162-3747-3843-bd19-d64a334744ab;  -19.375000 ;  -40.202000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1503118379 ;d02fcca4-a5ea-3097-a482-0079794ca834;  -18.772000 ;  -40.169000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1503118378 ;2f6f4635-a3d7-35ca-aa53-9e541ede1ef2;  -18.730000 ;  -40.136000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1503118377 ;ba48558c-7244-3d47-9db1-c3c451a158be;  -18.701000 ;  -40.072000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;SÃO MATEUS;Mata Atlântica
 1503118371 ;84fde69a-d4c3-3a8e-a913-244cb1178c24;  -18.127000 ;  -40.289000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;MONTANHA;Mata Atlântica
 1503118370 ;fe786712-e35e-36c0-8ef4-5fc41f4a3fa5;  -18.126000 ;  -40.279000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;MONTANHA;Mata Atlântica
 1503118368 ;104a3de5-1201-333d-94ba-ce6ab5ffbfaf;  -18.032000 ;  -40.527000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;MUCURICI;Mata Atlântica
 1503118367 ;da790282-e366-36c6-bb61-c898603912ef;  -18.031000 ;  -40.517000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;MUCURICI;Mata Atlântica
 1503118366 ;09068425-6cc9-3599-aa04-630bb58a7668;  -18.020000 ;  -40.254000 ;2020-07-06 16:30:00;Brasil;ESPÍRITO SANTO;MONTANHA;Mata Atlântica
 1503269692 ;51c4aa53-fac9-328f-b7a8-4dc5f757552e;  -19.306000 ;  -39.848000 ;2020-07-08 16:15:00;Brasil;ESPÍRITO SANTO;LINHARES;Mata Atlântica
 1503269679 ;3ee16d60-54fd-3de6-85f8-9923238023c2;  -19.202000 ;  -40.268000 ;2020-07-08 16:15:00;Brasil;ESPÍRITO SANTO;RIO BANANAL;Mata Atlântica
 1503269675 ;eba651a4-9de4-3248-80f7-aeb9015eda49;  -19.001000 ;  -40.763000 ;2020-07-08 16:15:00;Brasil;ESPÍRITO SANTO;PANCAS;Mata Atlântica
 1503597736 ;303e848d-c26c-3147-9f01-4c6416fc2753;  -20.994000 ;  -40.928000 ;2020-07-13 16:35:00;Brasil;ESPÍRITO SANTO;ITAPEMIRIM;Mata Atlântica
 1503597680 ;ac32ffb8-f655-3b35-97e8-3933cb433110;  -18.036000 ;  -40.520000 ;2020-07-13 16:35:00;Brasil;ESPÍRITO SANTO;MUCURICI;Mata Atlântica
 1503597464 ;2238ad7b-967b-32ce-a2ed-bde828bef1f8;  -19.098000 ;  -40.386000 ;2020-07-13 16:35:00;Brasil;ESPÍRITO SANTO;SÃO DOMINGOS DO NORTE;Mata Atlântica
